Name,Age,Photo,Nationality,Overall,Growth,TeamID,PosistionID,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
V. Grifo,25,https://cdn.sofifa.org/players/4/19/212096.png,13,77,2,48,6,82,72,47,73,70,83,84,80,63,84,74,66,78,72,79,81,52,72,62,76,52,45,73,70,65,72,50,31,30,10,12,8,8,14
A. Turan,31,https://cdn.sofifa.org/players/4/19/143745.png,52,77,0,59,5,77,71,65,79,78,79,79,64,78,80,75,68,81,74,76,75,78,59,68,75,80,61,77,80,73,79,69,63,60,11,7,11,12,11
J. dos Santos,28,https://cdn.sofifa.org/players/4/19/170370.png,47,77,0,26,5,76,61,55,81,69,78,77,72,77,79,74,68,74,76,81,72,66,78,65,73,72,67,73,75,59,73,70,69,69,15,15,7,10,12
D. Schwaab,29,https://cdn.sofifa.org/players/4/19/183426.png,10,77,0,70,10,64,32,77,72,49,62,55,40,69,70,65,72,63,74,61,54,72,74,76,29,69,77,49,63,55,71,79,76,78,10,10,15,9,6
M. Schmelzer,30,https://cdn.sofifa.org/players/4/19/188802.png,10,77,0,17,9,73,37,68,74,47,63,73,67,63,69,74,78,65,77,63,74,75,82,75,60,81,78,54,52,46,72,75,78,80,14,10,15,9,8
L. Spinazzola,25,https://cdn.sofifa.org/players/4/19/202884.png,13,77,3,2,6,76,60,62,74,59,81,62,41,70,80,77,83,74,74,61,68,76,89,72,68,68,74,70,68,59,74,77,76,76,11,13,12,15,14
A. Dragović,27,https://cdn.sofifa.org/players/4/19/189060.png,27,77,0,31,10,49,41,76,67,37,62,32,61,62,66,65,67,68,76,64,69,80,68,80,53,74,80,63,65,65,73,74,79,77,10,7,11,13,8
D. Pröpper,26,https://cdn.sofifa.org/players/4/19/193158.png,22,77,1,123,5,58,62,68,77,72,72,74,71,71,82,64,62,70,77,64,80,68,88,67,78,76,62,66,82,66,84,70,69,61,16,8,16,9,6
R. Inglese,26,https://cdn.sofifa.org/players/4/19/199559.png,13,77,1,152,1,39,78,90,65,70,68,68,36,35,76,51,69,54,72,55,78,83,66,85,68,40,19,78,42,72,74,30,13,12,14,11,10,13,7
A. Marchesín,30,https://cdn.sofifa.org/players/4/19/201095.png,1,77,0,173,11,18,14,11,37,15,24,16,15,34,20,49,52,68,75,60,12,75,38,59,12,57,15,18,65,14,64,22,15,15,73,74,74,79,81
R. De Paul,24,https://cdn.sofifa.org/players/4/19/212616.png,1,77,6,174,3,76,68,50,78,57,83,80,68,72,81,78,74,78,72,72,78,58,70,68,79,56,28,75,75,70,76,24,44,40,13,12,10,7,14
C. Gentner,32,https://cdn.sofifa.org/players/4/19/158856.png,10,77,0,82,5,67,73,78,76,75,69,69,54,75,75,37,39,50,76,48,79,61,85,79,76,72,77,74,75,63,79,70,76,74,15,11,16,7,8
G. Murray,34,https://cdn.sofifa.org/players/4/19/172937.png,12,77,0,123,1,48,83,85,69,74,65,57,33,55,74,34,34,52,84,71,78,84,55,77,64,79,45,88,70,80,81,44,29,23,15,16,14,7,10
Rafael Carioca,29,https://cdn.sofifa.org/players/4/19/188041.png,3,77,0,100,7,65,56,51,81,58,73,60,55,77,77,74,76,75,75,75,76,56,85,64,69,78,78,69,75,63,80,74,77,74,9,13,11,12,14
A. McCarthy,28,https://cdn.sofifa.org/players/4/19/189324.png,12,77,1,92,11,11,17,16,33,12,17,15,18,35,17,58,56,35,69,43,20,68,35,63,14,35,22,16,50,41,61,13,13,12,78,76,64,77,81
L. Chichizola,28,https://cdn.sofifa.org/players/4/19/191628.png,1,77,1,94,11,11,16,17,14,14,17,15,14,13,15,49,54,66,69,44,17,75,31,52,17,15,16,14,42,25,57,15,12,11,78,77,68,74,79
D. Zakaria,21,https://cdn.sofifa.org/players/4/19/229261.png,36,77,8,53,5,64,56,65,82,28,73,60,46,79,79,74,86,67,73,63,69,65,79,83,51,88,77,63,76,39,73,81,78,81,12,12,7,13,11
G. Dzhikiya,24,https://cdn.sofifa.org/players/4/19/229773.png,44,77,6,116,10,58,43,68,65,26,69,60,68,67,55,91,75,55,70,65,74,68,72,86,60,77,78,65,50,45,73,80,75,85,12,14,13,12,12
N. Castillo,25,https://cdn.sofifa.org/players/4/19/212878.png,29,77,5,35,1,49,80,77,65,69,68,67,66,59,76,70,68,62,74,75,82,82,69,88,72,78,37,78,58,86,74,40,30,19,13,8,9,10,15
D. Origi,23,https://cdn.sofifa.org/players/4/19/213135.png,5,77,5,11,1,69,75,73,74,69,76,54,40,59,74,76,79,72,76,64,79,73,65,76,69,69,28,78,69,65,72,16,24,18,15,13,16,11,15
O. Yokuşlu,24,https://cdn.sofifa.org/players/4/19/205201.png,52,77,6,30,7,67,65,78,77,70,74,72,65,72,77,72,74,62,72,62,79,70,87,83,75,81,76,68,71,60,72,73,76,71,12,16,10,13,7
D. Cheryshev,27,https://cdn.sofifa.org/players/4/19/206225.png,44,77,0,21,6,80,78,54,72,68,80,74,61,68,76,77,79,77,78,74,81,75,65,67,84,62,61,74,74,64,66,44,55,52,16,7,14,7,8
D. Selke,23,https://cdn.sofifa.org/players/4/19/212626.png,10,77,6,54,1,40,80,78,61,76,68,65,29,44,74,71,77,65,77,60,79,70,74,77,63,82,29,81,58,72,63,58,39,17,12,11,7,11,14
Wendell,24,https://cdn.sofifa.org/players/4/19/216466.png,3,77,3,31,9,78,37,53,77,29,79,66,75,65,78,87,79,78,75,77,60,68,77,64,59,87,75,69,69,67,72,72,75,80,8,12,6,14,14
M. Layún,30,https://cdn.sofifa.org/players/4/19/178322.png,47,77,0,33,5,80,67,63,76,66,75,68,74,74,76,76,76,72,74,78,80,75,76,66,76,72,77,73,71,74,79,77,75,74,7,16,6,12,11
Y. Sabaly,25,https://cdn.sofifa.org/players/4/19/215699.png,19,77,3,150,9,75,33,55,76,37,75,59,38,59,74,74,77,78,77,82,43,64,77,67,34,67,77,72,45,43,70,73,80,77,9,11,8,15,11
P. Cutrone,20,https://cdn.sofifa.org/players/4/19/237715.png,13,77,12,14,1,48,80,76,70,72,74,68,42,34,76,75,77,69,74,76,74,75,72,74,62,60,14,80,56,68,72,36,20,18,10,7,7,10,5
F. Marchetti,35,https://cdn.sofifa.org/players/4/19/139668.png,13,77,0,98,11,13,17,12,36,12,11,14,12,35,20,55,50,60,79,51,20,84,34,62,13,36,22,12,45,22,64,9,12,14,76,76,65,77,78
W. Cyprien,23,https://cdn.sofifa.org/players/4/19/212886.png,11,77,7,50,5,74,77,67,78,64,78,78,82,74,78,76,77,80,70,75,82,78,79,78,79,78,76,72,76,53,79,74,77,68,8,16,8,11,14
G. Paletta,32,https://cdn.sofifa.org/players/4/19/165526.png,13,77,0,125,10,30,16,76,54,30,48,48,35,58,52,54,34,34,73,38,60,78,73,88,44,79,81,28,18,35,74,74,81,80,10,6,15,10,14
F. Caicedo,29,https://cdn.sofifa.org/players/4/19/175254.png,53,77,0,16,1,59,72,75,72,75,72,66,68,59,77,69,71,61,78,67,84,75,54,90,68,80,43,82,61,73,70,32,44,47,7,13,7,8,10
Jordi Masip,29,https://cdn.sofifa.org/players/4/19/199575.png,4,77,0,175,11,20,12,13,42,19,17,21,20,38,25,57,64,70,73,65,26,81,41,54,13,21,16,11,55,12,54,21,14,13,79,76,76,74,78
B. Espinosa,28,https://cdn.sofifa.org/players/4/19/186521.png,15,77,0,88,10,51,39,78,74,44,40,51,42,61,67,43,51,47,68,36,56,75,61,84,42,79,77,33,49,52,70,70,80,75,11,15,12,9,12
M. Benassi,23,https://cdn.sofifa.org/players/4/19/211354.png,13,77,5,119,5,70,66,68,80,70,78,68,64,76,78,67,68,74,72,68,80,68,79,75,76,74,72,76,74,52,72,71,74,70,11,7,5,12,14
P. Jagielka,35,https://cdn.sofifa.org/players/4/19/53914.png,12,77,0,45,10,55,30,77,70,44,49,55,31,66,60,40,51,45,72,61,69,81,50,77,54,79,77,48,39,55,76,78,77,76,32,33,38,32,34
J. Kucka,31,https://cdn.sofifa.org/players/4/19/190875.png,21,77,0,129,5,68,65,75,76,68,75,66,69,76,75,66,65,72,79,54,85,90,87,90,78,86,78,73,70,71,75,77,77,78,14,8,9,15,8
R. Brady,26,https://cdn.sofifa.org/players/4/19/201884.png,62,77,1,90,8,80,70,59,72,66,78,81,79,75,76,79,78,74,74,76,78,73,74,64,75,58,66,73,77,72,74,63,68,71,12,8,13,7,7
A. Szymanowski,29,https://cdn.sofifa.org/players/4/19/210333.png,1,77,0,176,6,78,78,67,74,66,79,69,57,63,76,89,83,83,72,87,68,52,68,60,68,55,28,75,76,70,71,35,42,45,11,8,10,12,6
W. Reid,29,https://cdn.sofifa.org/players/4/19/176285.png,77,77,0,46,10,28,46,79,60,30,43,33,38,59,55,55,65,54,77,40,70,72,64,81,53,83,78,42,44,55,67,75,77,78,13,15,9,10,12
Cédric,26,https://cdn.sofifa.org/players/4/19/201118.png,2,77,1,92,9,70,57,65,75,68,75,66,64,69,76,79,78,74,76,83,76,72,86,62,74,75,74,71,65,60,69,68,80,76,11,14,12,12,11
R. Civelli,34,https://cdn.sofifa.org/players/4/19/152993.png,1,77,0,177,10,53,54,85,64,55,35,37,47,59,67,49,36,33,68,37,66,72,66,94,57,83,73,48,50,58,74,77,79,67,13,6,16,14,10
R. Loftus-Cheek,22,https://cdn.sofifa.org/players/4/19/213666.png,12,77,8,6,5,62,63,58,83,54,82,58,57,81,81,68,74,73,64,67,64,59,75,80,60,79,57,79,79,45,78,59,67,61,11,7,12,15,13
S. De Maio,31,https://cdn.sofifa.org/players/4/19/182179.png,11,77,0,167,10,11,20,72,50,20,52,23,39,54,54,61,67,54,70,54,61,83,63,92,37,74,78,19,34,46,76,80,80,78,6,5,5,11,7
S. Brown,33,https://cdn.sofifa.org/players/4/19/134820.png,39,77,0,178,7,53,44,50,82,42,70,55,44,70,72,66,68,77,76,73,70,79,87,77,48,90,77,47,63,74,86,76,75,71,7,7,14,15,14
A. Mitrović,23,https://cdn.sofifa.org/players/4/19/215716.png,25,77,5,72,1,29,78,84,67,76,66,39,52,43,74,60,64,67,77,63,82,81,64,88,70,89,14,82,68,66,76,25,24,13,15,12,6,7,13
P. Skjelbred,31,https://cdn.sofifa.org/players/4/19/152996.png,37,77,0,54,7,69,46,52,75,40,75,67,61,72,79,66,55,77,77,77,56,74,86,66,42,79,81,55,75,55,77,68,77,74,7,13,11,6,7
D. Cvitanich,34,https://cdn.sofifa.org/players/4/19/152997.png,1,77,0,177,1,64,79,79,73,71,70,67,66,65,83,68,62,72,74,79,71,81,69,75,67,68,33,81,74,79,77,31,32,34,15,12,15,12,11
K. Lasagna,25,https://cdn.sofifa.org/players/4/19/224933.png,13,77,3,174,1,60,78,72,66,74,76,66,42,50,79,89,88,81,76,72,72,76,69,69,66,40,30,80,58,66,74,26,20,18,8,14,13,15,15
R. Palacio,36,https://cdn.sofifa.org/players/4/19/152999.png,1,77,0,167,1,70,76,74,76,76,82,78,67,56,84,79,77,79,76,81,70,76,65,61,60,78,39,80,77,79,82,40,33,30,17,14,17,17,17
M. Wolf,23,https://cdn.sofifa.org/players/4/19/224425.png,10,77,5,17,6,75,75,60,73,62,78,69,71,61,78,83,84,68,73,67,70,53,86,68,67,73,64,74,74,52,68,67,54,50,12,15,7,16,8
E. Gigliotti,31,https://cdn.sofifa.org/players/4/19/200875.png,1,77,0,111,1,51,84,78,66,73,65,57,49,46,75,61,63,68,72,62,78,77,78,79,67,71,35,82,71,63,71,59,35,24,11,9,14,13,6
N. Jørgensen,27,https://cdn.sofifa.org/players/4/19/199852.png,16,77,1,121,1,68,79,74,72,74,74,69,62,63,77,75,73,65,75,57,80,68,81,84,75,60,31,75,74,68,82,39,36,24,6,8,14,9,7
Laguardia,28,https://cdn.sofifa.org/players/4/19/194222.png,4,77,1,85,10,43,49,73,70,29,36,38,35,57,58,54,63,50,67,59,40,78,76,80,30,89,76,44,46,32,70,78,79,76,14,12,13,9,10
J. Lukaku,23,https://cdn.sofifa.org/players/4/19/207537.png,5,77,4,16,6,79,54,62,74,57,80,53,46,66,80,89,93,78,78,79,76,74,76,84,66,74,77,61,68,53,76,66,74,72,8,7,14,15,9
J. Augustin,21,https://cdn.sofifa.org/players/4/19/225713.png,11,77,8,42,1,66,83,58,68,69,80,52,38,48,81,85,88,79,71,78,78,67,66,66,63,47,22,83,65,67,62,36,24,17,14,6,8,12,6
M. Diakhaby,21,https://cdn.sofifa.org/players/4/19/230578.png,11,77,7,21,10,28,36,85,68,31,50,34,26,52,57,57,59,46,70,33,45,83,75,82,29,76,78,47,45,49,73,75,77,70,15,11,10,14,11
Douglas,35,https://cdn.sofifa.org/players/4/19/187570.png,3,77,0,179,11,13,10,14,34,14,14,16,12,32,20,33,41,44,79,50,22,74,44,72,17,38,20,14,54,14,56,18,10,12,78,75,72,74,77
N. Pejčinović,30,https://cdn.sofifa.org/players/4/19/193714.png,25,77,0,170,10,67,30,80,67,44,45,47,31,61,63,43,62,58,72,60,59,89,71,80,44,82,77,30,56,37,71,75,75,76,10,14,7,14,10
D. van de Beek,21,https://cdn.sofifa.org/players/4/19/221363.png,22,77,6,43,4,67,75,59,78,76,74,66,62,74,78,66,65,70,76,58,77,70,82,75,80,68,72,76,77,55,78,64,59,52,7,12,8,10,14
Borja Iglesias,25,https://cdn.sofifa.org/players/4/19/224179.png,4,77,5,101,1,50,80,78,68,65,70,35,36,64,75,65,69,61,67,69,80,72,75,91,77,42,20,79,70,78,80,31,27,18,14,12,16,13,16
G. Shibasaki,26,https://cdn.sofifa.org/players/4/19/232883.png,51,77,3,94,6,68,70,56,81,61,77,59,67,79,79,69,67,76,78,77,64,67,74,60,66,65,74,69,80,71,75,61,73,72,10,13,13,9,6
W. Hughes,23,https://cdn.sofifa.org/players/4/19/206516.png,12,77,7,73,6,69,67,58,79,48,78,60,60,73,80,67,59,71,77,75,60,51,74,59,62,70,65,72,84,66,78,69,72,69,7,15,12,9,12
S. Boufal,24,https://cdn.sofifa.org/players/4/19/211381.png,24,77,3,30,6,69,68,35,75,70,86,71,63,66,86,84,79,89,68,84,71,34,67,40,65,47,19,72,75,69,69,16,40,32,9,16,10,14,7
T. Kehrer,21,https://cdn.sofifa.org/players/4/19/226229.png,10,77,7,3,9,56,37,76,63,32,63,45,38,58,64,74,76,69,76,65,65,78,74,70,40,80,75,48,56,36,68,72,81,85,9,9,14,10,12
M. Lang,27,https://cdn.sofifa.org/players/4/19/184501.png,36,77,1,53,9,78,71,80,74,68,63,45,55,73,74,69,76,66,67,57,72,80,85,79,66,69,75,67,55,59,71,75,78,77,12,8,9,10,11
E. Gutiérrez,23,https://cdn.sofifa.org/players/4/19/220854.png,47,77,8,70,5,69,68,52,79,65,74,73,51,76,77,78,76,69,68,72,77,53,91,62,74,60,77,67,76,67,76,75,69,57,7,14,10,8,16
D. Upamecano,19,https://cdn.sofifa.org/players/4/19/229558.png,11,77,11,42,10,47,39,71,72,21,59,32,28,66,64,73,85,61,67,62,44,86,61,88,24,81,75,35,56,39,68,68,84,75,6,7,8,15,9
Jefferson,29,https://cdn.sofifa.org/players/4/19/188086.png,3,77,0,27,9,84,55,64,74,70,75,81,78,77,74,77,74,74,73,74,83,71,88,71,80,79,70,72,70,63,59,71,78,78,16,14,6,13,14
W. Benítez,25,https://cdn.sofifa.org/players/4/19/215223.png,1,77,4,50,11,12,14,13,26,13,15,19,17,27,14,48,48,43,67,40,25,57,42,80,14,28,21,18,46,25,62,17,20,17,76,79,70,78,79
E. Bardhi,22,https://cdn.sofifa.org/players/4/19/237239.png,78,77,6,71,5,78,78,52,79,76,79,89,91,76,81,76,66,76,77,81,85,50,71,49,84,54,65,74,76,78,80,65,67,58,12,13,8,12,6
K. Mbodji,28,https://cdn.sofifa.org/players/4/19/198584.png,19,77,0,120,10,39,45,81,61,63,61,35,55,66,68,63,69,51,69,30,76,68,82,94,58,80,71,37,41,62,73,76,78,76,11,7,16,9,12
B. Sarr,26,https://cdn.sofifa.org/players/4/19/204472.png,11,77,2,29,9,75,64,66,74,46,79,72,39,69,77,82,83,76,79,76,75,63,77,68,69,78,76,65,66,65,68,75,72,76,9,15,14,8,12
F. Ferreyra,27,https://cdn.sofifa.org/players/4/19/213432.png,1,77,1,35,1,49,81,83,68,68,73,48,42,53,77,70,72,78,77,68,75,77,72,73,77,58,23,77,66,70,79,22,29,26,11,11,8,14,15
Danilo,34,https://cdn.sofifa.org/players/4/19/166072.png,3,77,0,167,10,30,24,72,60,22,46,34,30,66,60,49,53,46,73,60,72,76,42,71,48,78,83,25,42,48,74,80,82,79,11,8,11,5,6
A. Ayew,28,https://cdn.sofifa.org/players/4/19/176571.png,40,77,0,77,6,75,73,75,76,64,78,74,57,69,79,75,75,86,77,81,75,89,84,69,74,78,52,78,74,71,74,49,60,57,10,6,12,7,15
K. Mitroglou,30,https://cdn.sofifa.org/players/4/19/183483.png,28,77,0,29,1,60,78,81,66,76,69,72,71,59,72,53,62,47,74,34,83,76,63,86,72,75,10,78,68,61,83,13,18,10,12,7,10,8,16
J. Villar,41,https://cdn.sofifa.org/players/4/19/156092.png,54,77,0,86,11,14,12,12,30,8,21,15,22,22,24,31,32,50,73,68,29,56,22,62,16,22,22,14,51,21,55,13,13,14,75,75,74,78,77
P. Herrmann,27,https://cdn.sofifa.org/players/4/19/198077.png,10,77,0,53,6,77,65,54,74,70,79,74,60,64,77,79,83,83,77,75,74,69,64,56,70,58,29,79,77,63,65,28,26,54,14,13,8,8,7
D. da Costa,24,https://cdn.sofifa.org/players/4/19/202429.png,10,77,2,87,6,78,39,70,74,52,73,64,49,70,74,77,84,68,75,61,65,81,79,80,55,72,73,67,64,40,65,74,77,73,15,15,12,6,6
V. Fischer,24,https://cdn.sofifa.org/players/4/19/203965.png,16,77,5,180,6,67,74,49,75,74,79,71,65,69,79,80,83,82,70,75,77,56,80,66,70,68,34,75,75,62,74,45,36,33,13,14,6,14,15
Wesley,21,https://cdn.sofifa.org/players/4/19/232381.png,3,77,8,122,1,65,75,73,75,71,76,57,49,67,78,68,79,50,71,45,81,66,74,95,67,80,37,74,68,60,75,35,27,15,12,13,14,8,6
D. Ginczek,27,https://cdn.sofifa.org/players/4/19/192445.png,10,77,1,63,1,31,77,74,63,78,69,49,58,37,73,66,84,54,72,53,83,64,62,90,65,80,29,78,58,76,71,30,45,19,13,6,15,7,15
F. Kostić,25,https://cdn.sofifa.org/players/4/19/208574.png,25,77,1,87,6,79,64,48,64,68,83,79,75,59,80,89,84,77,76,72,77,66,74,74,69,65,41,74,72,64,77,33,34,47,13,14,12,12,13
R. Fraser,24,https://cdn.sofifa.org/players/4/19/207807.png,39,77,4,115,6,74,70,30,73,43,81,70,67,60,75,90,87,94,72,96,60,60,72,42,69,65,45,72,74,60,68,45,53,42,15,14,15,7,10
Cote,28,https://cdn.sofifa.org/players/4/19/190143.png,4,77,0,78,9,78,42,75,76,42,68,72,67,61,76,69,75,72,77,66,69,69,74,66,57,69,78,60,56,45,67,70,76,80,12,13,10,16,13
H. Winks,22,https://cdn.sofifa.org/players/4/19/222400.png,12,77,8,10,5,65,54,50,83,50,77,71,60,78,80,75,70,73,76,78,63,51,78,63,62,58,69,64,80,51,80,70,71,64,8,11,14,13,10
K. Mbabu,23,https://cdn.sofifa.org/players/4/19/210625.png,36,77,6,155,9,76,44,65,72,39,71,62,38,65,74,90,92,78,69,72,66,78,90,82,44,74,71,72,68,35,71,69,76,74,8,7,7,14,14
M. Hinteregger,25,https://cdn.sofifa.org/players/4/19/201922.png,27,77,3,118,10,53,48,77,63,49,55,58,63,81,62,63,73,62,68,62,83,85,72,83,71,82,76,61,65,64,65,77,78,77,14,14,9,13,10
L. Acosta,24,https://cdn.sofifa.org/players/4/19/221634.png,1,77,2,105,4,61,67,53,75,67,83,74,62,68,78,87,78,91,74,90,71,57,76,49,67,69,36,72,77,54,74,45,47,31,13,9,6,12,10
Sidcley,25,https://cdn.sofifa.org/players/4/19/225474.png,3,77,3,107,6,63,63,58,77,48,80,69,52,73,75,78,83,82,76,83,69,71,83,71,69,67,80,76,69,59,68,68,81,77,15,10,9,7,14
M. Jørgensen,28,https://cdn.sofifa.org/players/4/19/183491.png,16,77,2,144,10,47,34,77,70,40,46,30,26,62,63,62,68,59,71,55,61,74,66,82,30,85,75,46,65,27,71,76,78,74,16,9,9,14,13
M. Fabián,28,https://cdn.sofifa.org/players/4/19/186307.png,47,77,0,87,4,74,72,61,77,77,78,78,78,74,78,69,66,86,75,86,81,67,71,64,80,64,34,74,74,75,76,20,38,34,14,11,8,15,13
Carlos Eduardo,28,https://cdn.sofifa.org/players/4/19/192708.png,3,77,0,81,4,76,79,76,74,75,74,76,75,75,78,65,74,72,77,51,77,69,68,78,74,60,55,80,79,75,72,57,50,38,8,8,10,6,10
Rubén Castro,37,https://cdn.sofifa.org/players/4/19/115909.png,4,77,0,181,1,60,81,71,67,70,80,69,68,45,78,77,73,85,83,77,74,76,55,57,75,50,37,83,74,76,68,36,12,14,14,8,15,8,12
L. Augustinsson,24,https://cdn.sofifa.org/players/4/19/212678.png,30,77,5,55,9,77,55,56,73,54,73,75,70,74,74,77,79,76,73,72,69,69,89,65,59,68,73,65,73,62,74,74,76,77,10,12,10,15,8
S. Aziz,27,https://cdn.sofifa.org/players/4/19/189127.png,52,77,2,76,10,43,26,78,71,42,52,36,36,66,60,74,72,65,72,62,42,82,74,79,31,80,78,24,44,38,74,74,76,75,13,9,8,14,10
G. Ochoa,32,https://cdn.sofifa.org/players/4/19/140233.png,47,77,0,158,11,15,12,19,31,16,10,14,17,32,18,47,50,65,71,42,25,75,34,56,11,19,23,16,48,16,57,21,10,12,76,68,75,77,83
P. Hetemaj,31,https://cdn.sofifa.org/players/4/19/172233.png,32,77,0,97,5,74,54,58,78,77,77,74,69,76,78,78,74,78,75,81,76,90,88,67,73,86,73,73,76,69,77,69,72,76,13,11,8,9,6
André André,28,https://cdn.sofifa.org/players/4/19/199626.png,2,77,0,179,5,72,68,64,80,64,78,78,61,76,81,68,69,74,73,74,74,70,72,61,70,77,76,76,75,84,80,73,74,65,9,11,15,9,7
Vinícius Júnior,17,https://cdn.sofifa.org/players/4/19/238794.png,3,77,15,7,3,65,70,50,70,71,81,77,62,48,80,92,94,90,70,82,74,74,79,59,68,48,26,74,69,65,75,32,25,18,5,7,7,7,10
B. Džemaili,32,https://cdn.sofifa.org/players/4/19/138699.png,36,77,0,167,5,75,70,66,78,75,77,79,70,74,78,59,65,68,79,68,86,59,77,67,80,78,69,77,77,68,79,78,70,69,13,7,11,6,14
Juanpe,27,https://cdn.sofifa.org/players/4/19/192715.png,4,77,1,88,10,35,35,81,79,13,38,28,35,60,70,41,63,32,72,33,48,70,71,78,27,79,75,32,54,37,65,65,81,78,11,8,11,8,13
K. Fortounis,25,https://cdn.sofifa.org/players/4/19/203980.png,28,77,3,132,4,75,72,57,77,71,81,84,80,74,78,73,77,78,74,64,74,61,65,66,77,63,32,73,76,80,77,45,35,38,16,15,16,13,11
M. Vorm,34,https://cdn.sofifa.org/players/4/19/137677.png,22,77,0,10,11,13,14,17,39,12,18,12,14,35,35,53,54,63,80,53,23,72,36,65,19,23,28,10,32,41,63,22,11,14,78,72,70,73,78
B. Oczipka,29,https://cdn.sofifa.org/players/4/19/189390.png,10,77,0,24,8,81,50,68,77,47,73,61,70,74,74,66,76,65,76,62,75,75,79,77,64,76,74,66,60,70,74,74,79,78,12,14,7,6,10
R. Bentancur,21,https://cdn.sofifa.org/players/4/19/227535.png,7,77,12,2,5,58,53,62,83,45,82,46,49,77,83,67,73,68,72,68,63,74,83,67,62,66,66,60,73,50,80,75,72,64,8,7,14,14,12
T. Hernández,20,https://cdn.sofifa.org/players/4/19/232656.png,11,77,8,32,9,75,50,72,76,62,78,63,64,52,72,90,90,76,66,61,75,62,75,79,56,75,69,58,47,41,65,72,76,79,12,10,7,7,7
M. Lowton,29,https://cdn.sofifa.org/players/4/19/199633.png,12,77,0,90,9,81,52,73,75,70,75,77,46,74,77,74,70,69,78,71,72,77,79,73,68,76,76,70,75,49,76,78,77,76,11,6,6,13,7
I. Diop,21,https://cdn.sofifa.org/players/4/19/231633.png,11,77,9,46,10,37,30,74,64,48,43,32,34,59,60,64,68,46,68,48,50,73,69,83,31,77,78,38,40,44,72,76,78,80,10,7,6,14,9
B. André,27,https://cdn.sofifa.org/players/4/19/190674.png,11,77,0,128,7,72,61,74,80,56,75,68,46,79,76,68,73,73,76,72,69,85,81,77,65,75,73,70,76,66,76,74,78,71,8,14,15,7,10
C. Piccini,25,https://cdn.sofifa.org/players/4/19/201939.png,13,77,3,21,9,73,32,64,71,29,73,62,37,59,74,74,76,63,77,65,68,70,81,78,35,74,78,64,55,35,79,73,80,78,8,9,5,7,11
Paulinho,25,https://cdn.sofifa.org/players/4/19/216531.png,2,77,2,83,1,46,79,81,68,77,73,68,35,44,77,67,68,60,75,68,77,80,74,82,67,66,27,80,70,68,77,45,37,29,11,14,8,15,11
A. Diawara,20,https://cdn.sofifa.org/players/4/19/230613.png,33,77,10,12,5,64,39,59,82,46,76,62,37,76,80,68,70,78,76,69,66,58,84,70,56,82,77,54,78,52,75,73,76,72,11,14,5,11,11
Yuri Berchiche,28,https://cdn.sofifa.org/players/4/19/183512.png,4,77,0,57,9,79,56,72,70,59,66,77,55,68,74,78,77,73,72,71,78,85,82,77,77,85,69,49,48,59,75,74,78,83,12,13,9,8,11
José Sá,25,https://cdn.sofifa.org/players/4/19/212442.png,2,77,5,132,11,18,15,14,30,17,17,12,21,20,20,42,48,50,76,40,19,65,34,72,18,20,18,17,55,11,32,14,19,15,78,76,68,75,79
F. Kamano,22,https://cdn.sofifa.org/players/4/19/224218.png,33,77,5,150,3,72,76,49,70,67,79,70,58,55,75,90,89,79,72,78,73,55,71,58,74,59,24,76,69,66,71,34,33,29,13,12,11,13,10
F. Cartabia,25,https://cdn.sofifa.org/players/4/19/216796.png,1,77,3,182,6,75,75,53,76,59,79,77,72,72,78,79,72,80,75,82,80,63,72,34,75,80,34,73,73,66,67,63,35,27,8,6,6,16,14
E. Ünal,21,https://cdn.sofifa.org/players/4/19/223197.png,52,77,6,175,1,56,78,72,73,74,76,68,66,47,77,75,74,74,68,68,82,70,71,79,79,43,29,77,59,69,75,34,33,24,8,14,8,13,13
I. Radovanović,29,https://cdn.sofifa.org/players/4/19/186589.png,25,77,0,97,5,62,40,72,78,56,67,65,58,78,75,50,67,58,73,58,84,72,75,81,79,79,79,61,75,58,75,64,78,68,5,6,6,5,5
Renan Ribeiro,28,https://cdn.sofifa.org/players/4/19/194781.png,3,77,1,27,11,12,12,16,19,9,14,18,11,11,19,50,48,59,76,29,24,74,30,70,12,13,26,11,56,14,48,18,18,12,82,75,67,73,78
Jony,26,https://cdn.sofifa.org/players/4/19/222943.png,4,77,0,85,6,79,70,44,76,56,74,81,76,72,75,87,85,86,73,79,67,36,71,69,66,60,52,76,77,59,73,55,51,46,11,16,13,13,9
D. Buonanotte,30,https://cdn.sofifa.org/players/4/19/170719.png,1,77,0,183,4,74,62,36,74,61,79,83,76,73,79,91,85,90,74,94,69,58,63,30,78,30,25,69,77,71,71,35,31,18,15,16,16,9,13
Tomás Pina,30,https://cdn.sofifa.org/players/4/19/198368.png,4,77,0,85,5,55,62,68,79,59,76,65,60,78,78,60,54,64,77,51,73,69,69,72,68,73,76,71,74,59,65,61,77,69,8,12,11,7,15
